LP;ECG;IMP;Z0
390;-45.16516;-124853.96000;36.13200
391;-43.94448;-123724.71500;36.13200
392;-40.58761;-122132.19000;36.13200
393;-36.62040;-121437.27000;36.13200
394;-34.78938;-120916.08000;36.13200
395;-30.82217;-120221.16000;36.13200
396;-22.27741;-119468.33000;36.13200
397;-26.85496;-118657.59000;36.13200
398;-31.12734;-118165.35500;36.13200
399;-17.39469;-116225.37000;36.13200
400;-20.44639;-114661.80000;36.13200
401;-31.73768;-112026.89500;36.13200
402;-40.58761;-108349.61000;36.13200
403;-41.19795;-104903.96500;36.13200
404;-16.78435;-100097.43500;36.13200
405;-12.81714;-95175.08500;36.13200
406;-30.82217;-90397.51000;36.13200
407;-49.74271;-85185.61000;36.13200
408;-47.30135;-79771.02500;36.13200
409;-35.39972;-74501.21500;36.13200
410;-32.65319;-68420.66500;36.13200
411;-28.68598;-64309.05500;36.13200
412;-34.78938;-59212.97500;36.13200
413;-34.48421;-53624.66000;36.13200
414;-41.80829;-49165.59000;36.13200
415;-46.08067;-45401.44000;36.13200
416;-32.95836;-41550.42500;36.13200
417;-26.24462;-37525.68000;36.13200
418;-37.84108;-33471.98000;36.13200
419;-39.36693;-29997.38000;36.13200
420;-33.26353;-26378.00500;36.13200
421;-16.17401;-23337.73000;36.13200
422;-24.10843;-19921.04000;36.13200
423;-49.43754;-17720.46000;36.13200
424;-54.93060;-15867.34000;36.25600
425;-56.15128;-14390.63500;36.25600
426;-44.55482;-13550.94000;36.25600
427;-34.78938;-13029.75000;36.25600
428;-35.70489;-12537.51500;36.25600
429;-32.65319;-12334.83000;36.25600
430;-30.51700;-12363.78500;36.25600
431;-31.43251;-12566.47000;36.25600
432;-27.16013;-13521.98500;36.25600
433;-17.39469;-14274.81500;36.25600
434;-3.35687;-15056.60000;36.25600
435;7.62925;-16504.35000;36.25600
436;-9.46027;-17807.32500;36.25600
437;-23.19292;-19689.40000;36.25600
438;-15.25850;-21658.34000;36.25600
439;-9.15510;-24061.60500;36.25600
440;22.88775;-26088.45500;36.25600
441;43.63931;-28462.76500;36.25600
442;28.38081;-30576.48000;36.25600
443;-6.10340;-33008.70000;36.25600
444;-24.71877;-35962.11000;36.25600
445;-10.68095;-38336.42000;36.25600
446;-0.30517;-41926.84000;36.25600
447;7.93442;-45864.72000;36.25600
448;11.90163;-48412.76000;36.25600
449;22.88775;-51655.72000;36.25600
450;24.71877;-55304.05000;36.25600
451;25.32911;-58981.33500;36.25600
452;19.22571;-61210.87000;36.25600
453;14.03782;-64801.29000;36.25600
454;-1.83102;-67957.38500;36.25600
455;-5.49306;-71837.35500;36.25600
456;10.37578;-73516.74500;36.25600
457;30.82217;-76557.02000;36.25600
458;17.08952;-77425.67000;36.25600
459;-1.22068;-79944.75500;36.25600
460;-8.84993;-82145.33500;36.25600
461;-6.71374;-84085.32000;36.25600
462;-3.96721;-85040.83500;36.25600
463;0.30517;-86778.13500;36.25600
464;6.40857;-88515.43500;36.25600
465;26.85496;-90194.82500;36.25600
466;20.14122;-90918.70000;36.25600
467;-6.10340;-92134.81000;36.25600
468;-17.08952;-93350.92000;36.25600
469;-1.83102;-94074.79500;36.25600
470;2.13619;-94624.94000;36.25600
471;-5.49306;-95175.08500;36.25600
472;-8.23959;-95464.63500;36.25600
473;-10.07061;-95956.87000;36.25600
474;-7.32408;-95812.09500;36.25600
475;15.86884;-94914.49000;36.25600
476;1.83102;-96507.01500;36.25600
477;-16.78435;-97144.02500;36.25600
478;-21.66707;-97694.17000;36.25600
479;-17.08952;-98939.23500;36.25600
480;-4.88272;-99894.75000;36.25600
481;5.79823;-100560.71500;36.25600
482;0.91551;-101313.54500;36.25600
483;1.83102;-101950.55500;36.25600
484;-4.88272;-102240.10500;36.25600
485;-14.03782;-103108.75500;36.25600
486;-14.95333;-103427.26000;36.25600
487;-10.98612;-102906.07000;36.25600
488;0.61034;-103543.08000;36.20800
489;3.66204;-103658.90000;36.20800
490;19.53088;-104122.18000;36.20800
491;-1.52585;-104382.77500;36.20800
492;-10.98612;-105106.65000;36.20800
493;-11.29129;-106177.98500;36.20800
494;-3.66204;-106264.85000;36.20800
495;6.71374;-106901.86000;36.20800
496;5.79823;-108117.97000;36.20800
497;-4.27238;-108523.34000;36.20800
498;1.83102;-109160.35000;36.20800
499;6.71374;-109623.63000;36.20800
500;13.42748;-110926.60500;36.20800
501;20.14122;-111158.24500;36.20800
502;15.56367;-111216.15500;36.20800
503;2.74653;-112345.40000;36.20800
504;2.74653;-112403.31000;36.20800
505;8.23959;-113069.27500;36.20800
506;11.90163;-112577.04000;36.20800
507;11.59646;-112490.17500;36.20800
508;1.83102;-112634.95000;36.20800
509;6.40857;-112924.50000;36.20800
510;12.81714;-111795.25500;36.20800
511;15.86884;-111795.25500;36.20800
512;13.12231;-111360.93000;36.20800
513;11.59646;-111158.24500;36.20800
514;-6.40857;-110029.00000;36.20800
515;-15.56367;-108668.11500;36.20800
516;-9.76544;-108291.70000;36.20800
517;0.00000;-107625.73500;36.20800
518;10.98612;-107046.63500;36.20800
519;7.32408;-106235.89500;36.20800
520;-0.91551;-105164.56000;36.20800
521;-0.30517;-104527.55000;36.20800
522;1.83102;-104238.00000;36.20800
523;4.57755;-103195.62000;36.20800
524;20.75156;-102790.25000;36.20800
525;43.33414;-102674.43000;36.20800
526;32.65319;-101168.77000;36.20800
527;1.52585;-100734.44500;36.20800
528;-13.42748;-100531.76000;36.20800
529;-22.58258;-100473.85000;36.20800
530;-19.53088;-99663.11000;36.20800
531;-16.47918;-99228.78500;36.20800
532;-7.01891;-99402.51500;36.20800
533;1.22068;-100184.30000;36.20800
534;-2.44136;-99807.88500;36.20800
535;-7.01891;-100386.98500;36.20800
536;-19.83605;-101081.90500;36.20800
537;-7.62925;-102037.42000;36.20800
538;4.57755;-103282.48500;36.20800
539;-8.54476;-104035.31500;36.20800
540;-24.10843;-106033.21000;36.20800
541;-23.80326;-106322.76000;36.20800
542;-16.17401;-107683.64500;36.20800
543;-8.23959;-108262.74500;36.20800
544;-0.61034;-108291.70000;36.20800
545;-1.83102;-109189.30500;36.20800
546;6.40857;-110723.92000;36.20800
547;20.14122;-111679.43500;36.20800
548;41.19795;-112316.44500;36.20800
549;57.06679;-112982.41000;36.20800
550;77.51318;-114401.20500;36.20800
551;97.95957;-114893.44000;36.20800
552;117.79562;-115791.04500;36.29200
553;122.06800;-116514.92000;36.29200
554;113.82841;-117441.48000;36.29200
555;102.84229;-118657.59000;36.29200
556;124.50936;-119497.28500;36.29200
557;166.31765;-119931.61000;36.29200
558;184.93302;-120568.62000;36.29200
559;190.42608;-121118.76500;36.29200
560;176.69343;-122276.96500;36.29200
561;169.36935;-123522.03000;36.29200
562;159.90908;-121987.41500;36.29200
563;92.16134;-121408.31500;36.29200
564;20.14122;-121321.45000;36.29200
565;-20.14122;-121668.91000;36.29200
566;-37.53591;-120713.39500;36.29200
567;-44.24965;-119786.83500;36.29200
568;-50.35305;-118715.50000;36.29200
569;-38.75659;-117875.80500;36.29200
570;-30.21183;-116109.55000;36.29200
571;-37.23074;-113995.83500;36.29200
572;-43.94448;-112548.08500;36.29200
573;-29.29632;-109681.54000;36.29200
574;-21.66707;-107567.82500;36.29200
575;-35.70489;-105396.20000;36.29200
576;-37.84108;-103890.54000;36.29200
577;-28.07564;-102182.19500;36.29200
578;-28.07564;-100386.98500;36.29200
579;-28.38081;-99026.10000;36.29200
580;-11.59646;-98215.36000;36.29200
581;-6.10340;-96449.10500;36.29200
582;-20.14122;-93640.47000;36.29200
583;-35.70489;-91353.02500;36.29200
584;-40.58761;-88370.66000;36.29200
585;-27.16013;-84085.32000;36.29200
586;-28.99115;-79423.56500;36.29200
587;-39.06176;-74240.62000;36.29200
588;-44.55482;-68739.17000;36.29200
589;-36.31523;-62948.17000;36.29200
590;-25.32911;-55767.33000;36.29200
591;-28.07564;-48702.31000;36.29200
592;-35.39972;-42476.98500;36.29200
593;-39.67210;-36946.58000;36.29200
594;-40.89278;-29649.92000;36.29200
595;-36.01006;-23540.41500;36.29200
596;-32.34802;-17575.68500;36.29200
597;-25.32911;-12247.96500;36.29200
598;-23.80326;-6804.42500;36.29200
599;-29.60149;-1563.57000;36.29200
600;-36.31523;3677.28500;36.29200
601;-31.73768;7528.30000;36.29200
602;-39.36693;13087.66000;36.29200
603;-40.58761;17430.91000;36.29200
604;-28.99115;21658.34000;36.29200
605;-27.46530;25248.76000;36.29200
606;-33.87387;29331.41500;36.29200
607;-44.24965;32400.64500;36.29200
608;-40.28244;34456.45000;36.29200
609;-38.14625;37033.44500;36.29200
610;-36.31523;39378.80000;36.29200
611;-43.02897;41145.05500;36.29200
612;-38.45142;41637.29000;36.29200
613;-27.77047;42679.67000;36.29200
614;-18.92054;42505.94000;36.29200
615;-21.36190;43056.08500;36.29200
616;-14.03782;42824.44500;36.31200
617;-5.49306;42419.07500;36.31200
618;-20.75156;41868.93000;36.31200
619;-27.16013;40392.22500;36.31200
620;-21.97224;39031.34000;36.31200
621;-0.61034;36628.07500;36.31200
622;13.73265;35440.92000;36.31200
623;14.64816;33993.17000;36.31200
624;12.20680;31039.76000;36.31200
