ECG,IMP,Z0
178.52445,-77541.49000,44.74800
25.93945,-74327.48500,44.74800
-94.29753,-72040.04000,44.74800
-124.81453,-69607.82000,44.74800
-104.67331,-67580.97000,44.74800
-75.07182,-65206.66000,44.74800
-54.62543,-62977.12500,44.74800
-42.41863,-61008.18500,44.74800
-34.17904,-60255.35500,44.74800
-16.17401,-59155.06500,44.74800
-4.88272,-58518.05500,44.74800
-10.37578,-57794.18000,44.74800
-11.90163,-57938.95500,44.74800
-10.98612,-58402.23500,44.74800
-12.51197,-59010.29000,44.74800
-17.39469,-59444.61500,44.74800
-18.61537,-60834.45500,44.74800
-14.95333,-61355.64500,44.74800
-9.76544,-61529.37500,44.74800
-10.07061,-60400.13000,44.74800
-15.86884,-59821.03000,44.74800
-11.29129,-57823.13500,44.74800
-11.90163,-54869.72500,44.74800
-14.95333,-52813.92000,44.74800
-12.20680,-51105.57500,44.74800
-10.68095,-49686.78000,44.74800
-10.07061,-49049.77000,44.74800
-13.12231,-48094.25500,44.74800
-13.12231,-47225.60500,44.56000
-10.98612,-46965.01000,44.56000
-12.20680,-44503.83500,44.56000
-14.34299,-41839.97500,44.56000
-12.20680,-38597.01500,44.56000
-9.15510,-34456.45000,44.56000
-8.23959,-30663.34500,44.56000
-11.90163,-25798.90500,44.56000
-7.32408,-22121.62000,44.56000
3.05170,-18270.60500,44.56000
9.46027,-13840.49000,44.56000
8.23959,-9207.69000,44.56000
15.25850,-5356.67500,44.56000
21.36190,-608.05500,44.56000
21.05673,3532.51000,44.56000
18.31020,9613.06000,44.56000
20.44639,13406.16500,44.56000
27.16013,17633.59500,44.56000
34.17904,22005.80000,44.56000
41.80829,26204.27500,44.56000
43.94448,28723.36000,44.56000
40.58761,31068.71500,44.56000
37.23074,33935.26000,44.56000
29.90666,35035.55000,44.56000
26.85496,36251.66000,44.56000
30.21183,37004.49000,44.56000
29.60149,36512.25500,44.56000
22.88775,36106.88500,44.56000
21.36190,33732.57500,44.56000
21.05673,31300.35500,44.56000
18.92054,29707.83000,44.56000
16.17401,25885.77000,44.56000
14.64816,22295.35000,44.56000
16.47918,18328.51500,44.56000
12.20680,14506.45500,44.56000
11.90163,11321.40500,44.56000
13.12231,7759.94000,44.56000
18.61537,6370.10000,44.56000
19.53088,6746.51500,44.56000
19.22571,6804.42500,44.56000
14.64816,6456.96500,44.56000
14.34299,5472.49500,44.56000
6.40857,4603.84500,44.56000
10.68095,3185.05000,44.56000
25.32911,1766.25500,44.56000
57.98230,463.28000,44.56000
121.76283,-405.37000,44.56000
222.77410,-665.96500,44.56000
312.49408,-1216.11000,44.56000
376.27461,-781.78500,44.56000
375.05393,-665.96500,44.56000
243.22049,-694.92000,44.56000
93.38202,-2316.40000,44.56000
-1.83102,-3416.69000,44.56000
-39.06176,-3648.33000,44.56000
-51.57373,-3532.51000,44.56000
-55.84611,-2953.41000,44.56000
-47.60652,-1997.89500,44.56000
-42.11346,-376.41500,44.56000
-25.63428,723.87500,44.56000
-16.78435,-260.59500,44.56000
-2.44136,-1274.02000,44.56000
1.83102,-2490.13000,44.56000
-7.32408,-4430.11500,44.56000
-7.93442,-6572.78500,44.54000
-1.83102,-9033.96000,44.54000
1.83102,-12016.32500,44.54000
0.00000,-14969.73500,44.54000
0.61034,-17459.86500,44.54000
10.68095,-20239.54500,44.54000
17.39469,-22092.66500,44.54000
14.95333,-21774.16000,44.54000
10.68095,-21050.28500,44.54000
16.17401,-19573.58000,44.54000
18.61537,-17517.77500,44.54000
17.08952,-16041.07000,44.54000
17.69986,-16446.44000,44.54000
17.39469,-16533.30500,44.54000
18.00503,-16504.35000,44.54000
17.69986,-15838.38500,44.54000
13.42748,-15780.47500,44.54000
10.37578,-14101.08500,44.54000
7.01891,-11524.09000,44.54000
1.22068,-7817.85000,44.54000
-0.30517,-4111.61000,44.54000
2.74653,1708.34500,44.54000
6.10340,9468.28500,44.54000
-0.30517,17662.55000,44.54000
9.76544,25885.77000,44.54000
17.08952,34311.67500,44.54000
22.88775,43056.08500,44.54000
25.02394,51308.26000,44.54000
33.26353,57620.45000,44.54000
44.55482,64019.50500,44.54000
53.09958,69578.86500,44.54000
53.70992,74211.66500,44.54000
60.72883,77020.30000,44.54000
74.46148,80060.57500,44.54000
82.39590,81797.87500,44.54000
82.39590,82927.12000,44.54000
83.00624,83419.35500,44.54000
76.29250,83332.49000,44.54000
68.05291,82145.33500,44.54000
67.44257,80842.36000,44.54000
66.83223,78497.00500,44.54000
67.44257,75833.14500,44.54000
67.74774,73024.51000,44.54000
65.61155,69376.18000,44.54000
60.42366,65003.97500,44.54000
57.37196,59792.07500,44.54000
60.11849,55390.91500,44.54000
57.98230,50439.61000,44.54000
54.01509,44359.06000,44.54000
50.96339,38365.37500,44.54000
53.09958,32371.69000,44.54000
52.18407,27072.92500,44.54000
40.58761,22237.44000,44.54000
45.77550,19428.80500,44.54000
52.48924,16330.62000,44.54000
45.47033,13058.70500,44.54000
44.85999,8686.50000,44.54000
42.72380,4053.70000,44.54000
51.57373,-318.50500,44.54000
73.24080,-4632.80000,44.54000
111.08188,-9149.78000,44.54000
181.57615,-13695.71500,44.54000
281.36674,-16707.03500,44.54000
364.67815,-19399.85000,44.54000
426.62766,-21484.61000,44.50000
410.14848,-23164.00000,44.50000
281.67191,-25856.81500,44.50000
144.34541,-29910.51500,44.50000
32.95836,-33500.93500,44.50000
-8.23959,-37409.86000,44.50000
-13.73265,-41897.88500,44.50000
-12.51197,-46183.22500,44.50000
-5.18789,-51163.48500,44.50000
2.44136,-56520.16000,44.50000
14.34299,-62282.20500,44.50000
21.05673,-69347.22500,44.50000
30.82217,-76585.97500,44.50000
39.67210,-85040.83500,44.50000
37.84108,-92366.45000,44.50000
32.65319,-99865.79500,44.50000
35.39972,-107857.37500,44.50000
36.62040,-116022.68500,44.50000
35.70489,-123695.76000,44.50000
30.21183,-130992.42000,44.50000
22.88775,-137449.38500,44.50000
27.77047,-142661.28500,44.50000
30.82217,-145412.01000,44.50000
28.68598,-148162.73500,44.50000
26.54979,-150276.45000,44.50000
21.66707,-152940.31000,44.50000
24.41360,-156357.00000,44.50000
21.36190,-159860.55500,44.50000
23.19292,-164059.03000,44.50000
29.90666,-168054.82000,44.50000
33.87387,-170805.54500,44.50000
29.90666,-171905.83500,44.50000
30.82217,-171963.74500,44.50000
32.04285,-170255.40000,44.50000
33.56870,-165999.01500,44.50000
31.43251,-159744.73500,44.50000
32.95836,-152708.67000,44.50000
38.14625,-142574.42000,44.50000
40.58761,-133511.50500,44.50000
42.11346,-124361.72500,44.50000
51.26856,-116051.64000,44.50000
64.08570,-106380.67000,44.50000
65.00121,-98447.00000,44.50000
66.83223,-89963.18500,44.50000
74.76665,-83824.72500,44.50000
80.25971,-78583.87000,44.50000
87.58379,-73690.47500,44.50000
86.36311,-70360.65000,44.50000
91.24583,-67899.47500,44.50000
96.43372,-65756.80500,44.50000
96.73889,-64453.83000,44.50000
93.99236,-63179.81000,44.50000
90.63549,-62282.20500,44.50000
82.09073,-61963.70000,44.50000
81.78556,-61818.92500,44.50000
83.31141,-63614.13500,44.50000
75.68216,-65148.75000,44.50000
73.24080,-67609.92500,44.50000
80.87005,-70679.15500,44.50000
76.59767,-74066.89000,44.50000
75.07182,-79336.70000,44.50000
72.63046,-85504.11500,44.50000
69.57876,-90513.33000,44.50000
68.96842,-96043.73500,44.50000
66.22189,-102326.97000,44.57600
69.88393,-109913.18000,44.57600
74.76665,-114719.71000,44.57600
69.88393,-119468.33000,44.57600
64.39087,-122856.06500,44.57600
69.27359,-126243.80000,44.57600
72.32529,-129139.30000,44.57600
75.07182,-131426.74500,44.57600
79.64937,-135364.62500,44.57600
83.00624,-138926.09000,44.57600
77.20801,-143211.43000,44.57600
70.49427,-146888.71500,44.57600
66.52706,-149726.30500,44.57600
69.88393,-152274.34500,44.57600
72.93563,-154301.19500,44.57600
74.76665,-155662.08000,44.57600
74.76665,-156791.32500,44.57600
70.49427,-158383.85000,44.57600
68.35808,-158065.34500,44.57600
68.66325,-158644.44500,44.57600
73.85114,-159715.78000,44.57600
80.56488,-160613.38500,44.57600
79.64937,-161308.30500,44.57600
68.66325,-162263.82000,44.57600
60.42366,-164840.81500,44.57600
69.57876,-167939.00000,44.57600
90.02515,-171037.18500,44.57600
131.22310,-174048.50500,44.57600
203.85356,-178160.11500,44.57600
304.86483,-182677.09500,44.57600
382.98835,-185572.59500,44.57600
441.88616,-190379.12500,44.57600
448.29473,-193593.13000,44.57600
350.33516,-196256.99000,44.57600
208.43111,-200918.74500,44.57600
95.21304,-205319.90500,44.57600
39.97727,-209402.56000,44.57600
30.82217,-211371.50000,44.57600
36.31523,-213658.94500,44.57600
27.46530,-215598.93000,44.57600
30.51700,-218002.19500,44.57600
48.21686,-221187.24500,44.57600
50.04788,-222895.59000,44.57600
49.74271,-225472.58500,44.57600
55.23577,-228339.13000,44.57600
59.20298,-228657.63500,44.57600
61.64434,-228194.35500,44.57600
56.15128,-226949.29000,44.57600
49.43754,-224690.80000,44.57600
50.65822,-220984.56000,44.57600
54.93060,-216583.40000,44.57600
50.96339,-211892.69000,44.57600
50.35305,-209373.60500,44.57600
56.45645,-207057.20500,44.57600
56.45645,-203177.23500,44.57600
52.48924,-199586.81500,44.57600
50.65822,-195069.83500,44.57600
54.93060,-189944.80000,44.57600
58.59264,-182995.60000,44.57600
57.06679,-173990.59500,44.57600
56.76162,-163914.25500,44.57600
61.64434,-152332.25500,44.57600
65.61155,-138173.26000,44.57600
57.67713,-122711.29000,44.57600
58.59264,-108089.01500,44.68400
61.64434,-93148.23500,44.68400
63.47536,-77194.03000,44.68400
65.30638,-62079.52000,44.68400
65.30638,-46646.50500,44.68400
62.55985,-31937.36500,44.68400
62.25468,-18154.78500,44.68400
66.83223,-4516.98000,44.68400
72.02012,9005.00500,44.68400
77.51318,22121.62000,44.68400
79.95454,34456.45000,44.68400
80.87005,45922.63000,44.68400
88.49930,57041.35000,44.68400
95.51821,67754.70000,44.68400
102.53712,76701.79500,44.68400
101.92678,84925.01500,44.68400
104.97848,92366.45000,44.68400
113.21807,98447.00000,44.68400
115.96460,104498.59500,44.68400
107.41984,108465.43000,44.68400
97.04406,111853.16500,44.68400
89.71998,114343.29500,44.68400
90.94066,116138.50500,44.68400
90.02515,116746.56000,44.68400
92.46651,117094.02000,44.68400
93.99236,116862.38000,44.68400
98.56991,115038.21500,44.68400
101.31644,113127.18500,44.68400
94.90787,109015.57500,44.68400
90.94066,104295.91000,44.68400
93.07685,98823.41500,44.68400
91.24583,92829.73000,44.68400
93.99236,86488.58500,44.68400
110.47154,79944.75500,44.68400
138.85235,73400.92500,44.68400
188.59506,67349.33000,44.68400
282.58742,61732.06000,44.68400
397.33134,58952.38000,44.68400
487.35649,57504.63000,44.68400
487.35649,55506.73500,44.68400
354.60754,52640.19000,44.68400
189.20540,47949.48000,44.68400
30.21183,43287.72500,44.68400
-57.98230,37931.05000,44.68400
-45.77550,32603.33000,44.68400
-10.98612,27507.25000,44.68400
3.66204,23077.13500,44.68400
21.36190,17575.68500,44.68400
36.62040,12305.87500,44.68400
47.91169,7209.79500,44.68400
64.69604,1997.89500,44.68400
57.67713,-3387.73500,44.68400
54.93060,-8976.05000,44.68400
62.25468,-14680.18500,44.68400
73.24080,-19834.17500,44.68400
69.88393,-25885.77000,44.68400
